"subject_name","subject_key","role","research_status","source_page_url","original_media_url","creator","source_date","width_px","height_px","license_id","license_url","identity_evidence","crop_suitability","review_notes","fallback_asset_id","reviewed_utc"
"Bikram Singh","bikram-singh","singer","no_verified_free_portrait","","","","","","","","","The provider name is ambiguous and no exact singer portrait was verified.","The provider name is ambiguous and no exact singer portrait was verified.","Commons search results were the Indian army chief and politician Bikram Singh/Majithia, not the Punjabi-American singer. Those false matches were rejected.","category-music-microphone-v3","2026-09-19"
"Bilal Saeed","bilal-saeed","singer","approved","https://commons.wikimedia.org/wiki/File:Bilal_Saeed.jpg","https://commons.wikimedia.org/wiki/Special:Redirect/file/Bilal_Saeed.jpg","Pardesi Squad","","910","1080","CC-BY-3.0","https://creativecommons.org/licenses/by/3.0/","confirmed Commons license review passed by MGA73 on 2021-01-26 for the cited YouTube source","Close video frame with adequate resolution; expect some compression","APPROVED FOR PORTRAIT DESIGN Retain attribution, source, license link, and modification notice; living-person personality rights remain separate from copyright Upstream source: https://www.youtube.com/watch?v=pQNi519QYMM&t=83s. Source license statement: CC BY 3.0.","category-music-microphone-v3","2026-09-19"
"Billy Connolly","billy-connolly","actor","approved","https://commons.wikimedia.org/wiki/File:Billy_Connolly_(26221271743)_(cropped).jpg","https://upload.wikimedia.org/wikipedia/commons/f/fe/Billy_Connolly_%2826221271743%29_%28cropped%29.jpg","Greg2600","2016-04-27 23:43","1222","1222","CC-BY-SA-2.0","https://creativecommons.org/licenses/by-sa/2.0/","Exact subject; already a square close portrait. Keep the hat and beard silhouette; only a light edge crop should be needed.","Exact subject; already a square close portrait. Keep the hat and beard silhouette; only a light edge crop should be needed.","Attribution, license link, and modification notice required. Any adapted/cutout version must remain under CC BY-SA 2.0 or a compatible license. Source license statement: CC BY-SA 2.0.","category-movie-clapperboard-v3","2026-09-19"
"Bobby Deol","bobby-deol","actor","approved","https://commons.wikimedia.org/wiki/File:Bobby_Deol_graces_the_special_screening_of_%E2%80%98Poster_Boys%E2%80%99.jpg","https://upload.wikimedia.org/wikipedia/commons/2/22/Bobby_Deol_graces_the_special_screening_of_%E2%80%98Poster_Boys%E2%80%99.jpg","Bollywood Hungama","2017-09-07","349","502","CC-BY-3.0","https://creativecommons.org/licenses/by/3.0/","Description explicitly identifies Bobby Deol at the Poster Boys screening.","Solo vertical event photograph; suitable at TV-guide size, with moderate upscaling only.","Bollywood Hungama VRT-licensed event photo. Source license statement: CC BY 3.0.","category-movie-clapperboard-v3","2026-09-19"
"Bohemia","bohemia","singer","conditional","https://commons.wikimedia.org/wiki/File:Bohemia_performing.jpg","https://upload.wikimedia.org/wikipedia/commons/2/25/Bohemia_performing.jpg","Aakash Saroha","2017-10-05","1758","1198","CC-BY-3.0","https://creativecommons.org/licenses/by/3.0/","Exact depicted artist and useful resolution, but it is a performance frame rather than a clean studio portrait.","Exact depicted artist and useful resolution, but it is a performance frame rather than a clean studio portrait.","Commons identifies the depicted Wikidata item as rapper Bohemia and lists a YouTube CC BY 3.0 source. The page does not show the explicit external-license-review marker found on stronger YouTube candidates, so retain conditionally. Source license statement: CC BY 3.0.","category-music-microphone-v3","2026-09-19"
"Boman Irani","boman-irani","actor","conditional","https://commons.wikimedia.org/wiki/File:Boman_Irani.jpg","https://upload.wikimedia.org/wikipedia/commons/2/24/Boman_Irani.jpg","Bollywood Hungama","Unknown date (not supplied on file page)","311","305","CC-BY-3.0","https://creativecommons.org/licenses/by/3.0/","Description explicitly identifies Boman Irani at an AHEAD NGO event.","Close, nearly square portrait but only 311x305; usable for a 128-256 px guide icon, potentially soft at 512 px.","License is approved; status is conditional only because of source resolution. Prefer fallback if the 512 px cutout fails visual QA. Source license statement: CC BY 3.0.","category-movie-clapperboard-v3","2026-09-19"
"Bruce Lee","bruce-lee","actor","conditional","https://commons.wikimedia.org/wiki/File:Bruce_Lee_1973.jpg","https://upload.wikimedia.org/wikipedia/commons/c/ca/Bruce_Lee_1973.jpg","National General Pictures","1973-06-14","516","689","PD-US-No-Notice","https://commons.wikimedia.org/wiki/Template:PD-US-no_notice","Exact subject in a publicity still for Fists of Fury / The Big Boss; modest resolution but a usable face crop.","Exact subject in a publicity still for Fists of Fury / The Big Boss; modest resolution but a usable face crop.","Conditional on deployment jurisdiction: the file page says it is public domain in the United States because it was published in 1931-1977 without a copyright notice, and explicitly warns it may remain copyrighted in countries that do not apply the rule of the shorter term. Source license statement: Public domain in the United States (PD-US-no notice).","category-movie-clapperboard-v3","2026-09-19"
"Chris Rock","chris-rock","actor","approved","https://commons.wikimedia.org/wiki/File:Chris_Rock_2014.jpg","https://upload.wikimedia.org/wikipedia/commons/8/89/Chris_Rock_2014.jpg","gdcgraphics (Gordon Correll)","2014-09-15 18:04:53","768","1024","CC-BY-SA-2.0","https://creativecommons.org/licenses/by-sa/2.0/","Exact subject at the 2014 Toronto International Film Festival; portrait orientation with a clean face-and-shoulders crop available.","Exact subject at the 2014 Toronto International Film Festival; portrait orientation with a clean face-and-shoulders crop available.","Attribution, license link, and modification notice required. Any adapted/cutout version must remain under CC BY-SA 2.0 or a compatible license. Source license statement: CC BY-SA 2.0.","category-movie-clapperboard-v3","2026-09-19"
"Clint Eastwood","clint-eastwood","actor","approved","https://commons.wikimedia.org/wiki/File:Clint_Eastwood_at_2010_New_York_Film_Festival.jpg","https://upload.wikimedia.org/wikipedia/commons/7/7e/Clint_Eastwood_at_2010_New_York_Film_Festival.jpg","Raffi Asdourian","2009-12-02 01:55:18 (date stated on file page)","781","1064","CC-BY-2.0","https://creativecommons.org/licenses/by/2.0/","Exact Clint Eastwood, extracted from a group photograph and already presented as a vertical portrait.","Exact Clint Eastwood, extracted from a group photograph and already presented as a vertical portrait.","Use the file-page date even though the title says 2010 New York Film Festival. Attribution and a modification notice are required. Source license statement: CC BY 2.0.","category-movie-clapperboard-v3","2026-09-19"
"Conor McGregor","conor-mcgregor","actor","approved","https://commons.wikimedia.org/wiki/File:Conor_McGregor,_UFC_189_World_Tour_London.jpg","https://upload.wikimedia.org/wikipedia/commons/1/14/Conor_McGregor,_UFC_189_World_Tour_London.jpg","Andrius Petrucenia; crop by UCinternational","2015-03-30","2350","3520","CC-BY-SA-2.0","https://creativecommons.org/licenses/by-sa/2.0/","Exact Conor McGregor at the UFC 189 World Tour in London; tall source has ample face/upper-body detail for a guide icon.","Exact Conor McGregor at the UFC 189 World Tour in London; tall source has ample face/upper-body detail for a guide icon.","Flickr-origin license was reviewed on Commons by Stemoc on 2015-12-13. Preserve attribution and license the cutout under CC BY-SA 2.0 or a compatible license; note the crop/background removal. Source license statement: CC BY-SA 2.0.","category-movie-clapperboard-v3","2026-09-19"
"Daler Mehndi","daler-mehndi","singer","conditional","https://commons.wikimedia.org/wiki/File:Daler_Mehndi_%282008%29.jpg","https://upload.wikimedia.org/wikipedia/commons/7/7a/Daler_Mehndi_%282008%29.jpg","Ankitmalik023","2008-10-17T22:15:26","800","600","CC-BY-SA-3.0","https://creativecommons.org/licenses/by-sa/3.0/","File title and structured data identify Daler Mehndi, and the portrait is usable, but the free-text description discusses Hans Raj Hans and is internally inconsistent.","File title and structured data identify Daler Mehndi, and the portrait is usable, but the free-text description discusses Hans Raj Hans and is internally inconsistent.","Self-published Commons file. Treat the identity/provenance mismatch as a legal/editorial review condition; derivatives remain CC BY-SA 3.0. Source license statement: CC BY-SA 3.0.","category-music-microphone-v3","2026-09-19"
"David Attenborough","david-attenborough","actor","approved","https://commons.wikimedia.org/wiki/File:David_Attenborough.jpg","https://upload.wikimedia.org/wikipedia/commons/4/42/David_Attenborough.jpg","Wildscreen (required attribution; transferred by Shojo)","2003-05 (EXIF 2003-05-19)","508","338","CC-BY-2.5","https://creativecommons.org/licenses/by/2.5/","Exact David Attenborough at the ARKive launch. A portrait crop exists, but use the 508x338 parent so the cutout retains the maximum available pixels.","Exact David Attenborough at the ARKive launch. A portrait crop exists, but use the 508x338 parent so the cutout retains the maximum available pixels.","Commons records Wildscreen's CC BY 2.5 permission/attribution. Resolution is modest, so keep the cutout simple and judge it at actual TV-guide size. Source license statement: CC BY 2.5.","category-movie-clapperboard-v3","2026-09-19"
"Deep Jandu","deep-jandu","singer","conditional","https://commons.wikimedia.org/wiki/File:Deep_Jandu.jpg","https://upload.wikimedia.org/wikipedia/commons/d/d9/Deep_Jandu.jpg","Sahajpreet71","2026-04-08","1600","1066","CC-BY-SA-4.0","https://creativecommons.org/licenses/by-sa/4.0/","Good resolution, but the new file is uncategorized and its description only states the name; identity is not independently corroborated on the file page.","Good resolution, but the new file is uncategorized and its description only states the name; identity is not independently corroborated on the file page.","Uploader claims own work under CC BY-SA 4.0. Require a human identity check against an authoritative reference before using it. Source license statement: CC BY-SA 4.0.","category-music-microphone-v3","2026-09-19"
"Dev Anand","dev-anand","actor","approved","https://commons.wikimedia.org/wiki/File:Dev_Anand_still1.jpg","https://upload.wikimedia.org/wikipedia/commons/c/c3/Dev_Anand_still1.jpg","Bollywood Hungama","Unknown date (not supplied on file page)","400","533","CC-BY-3.0","https://creativecommons.org/licenses/by/3.0/","Description identifies Dev Anand at an Indo-American Society felicitation; despite the filename, the documented source is an event photo rather than a movie frame.","Vertical event portrait; adequate face detail for a compact icon.","Use only this reviewed event file, not unlicensed movie stills returned by general image search. Source license statement: CC BY 3.0.","category-movie-clapperboard-v3","2026-09-19"
"Dev Dhillon","dev-dhillon","singer","no_verified_free_portrait","","","","","","","","","No exact freely reusable portrait located.","No exact freely reusable portrait located.","Exact-name Commons bitmap search and English Wikipedia/Wikidata image check on 2026-09-19 found no acceptable file.","category-music-microphone-v3","2026-09-19"
"Dharmendra","dharmendra","actor","approved","https://commons.wikimedia.org/wiki/File:Dharmendra.jpg","https://upload.wikimedia.org/wikipedia/commons/3/3b/Dharmendra.jpg","Bollywood Hungama","2011-09-23","585","439","CC-BY-3.0","https://creativecommons.org/licenses/by/3.0/","Description explicitly identifies Dharmendra on the set of India's Got Talent.","Landscape but sufficiently large; crop the actor to head and shoulders.","Bollywood Hungama VRT-licensed event photograph. Source license statement: CC BY 3.0.","category-movie-clapperboard-v3","2026-09-19"
"Dharmpreet","dharmpreet","singer","no_verified_free_portrait","","","","","","","","","No exact freely reusable portrait located.","No exact freely reusable portrait located.","Exact-name Commons bitmap search found only unrelated Sikh-history graphics; no exact singer portrait was accepted.","category-music-microphone-v3","2026-09-19"
"Dilip Kumar","dilip-kumar","actor","approved","https://commons.wikimedia.org/wiki/File:Dilip_Kumar.jpg","https://upload.wikimedia.org/wikipedia/commons/4/46/Dilip_Kumar.jpg","I4net","2006-01-04","1600","1200","CC-BY-SA-3.0","https://creativecommons.org/licenses/by-sa/3.0/","Description identifies Dilip Kumar during his documented 2006 visit to the MouthShut.com office.","High-resolution landscape photograph with ample pixels for a head-and-shoulders crop.","ShareAlike applies to the resulting cutout/adaptation. Source license statement: CC BY-SA 3.0. An approved cutout for this exact subject already exists in the production icon catalog; preserve it unless a replacement is reviewed intentionally.","category-movie-clapperboard-v3","2026-09-19"
"Dr. Rajkumar","dr-rajkumar","actor","approved","https://commons.wikimedia.org/wiki/File:Dr._Rajkumar_(3).jpg","https://upload.wikimedia.org/wikipedia/commons/1/12/Dr._Rajkumar_(3).jpg","A2 Movies","2024-08-19 (Commons frame/upload date)","624","669","CC-BY-3.0","https://creativecommons.org/licenses/by/3.0/","Exact Dr. Rajkumar portrait frame; square-ish composition is suitable for icon extraction.","Exact Dr. Rajkumar portrait frame; square-ish composition is suitable for icon extraction.","The source YouTube video was license-reviewed by Lymantria on 2024-09-09 and confirmed CC BY 3.0. Attribute A2 Movies and state that the frame was cropped/background-removed. Source license statement: CC BY 3.0.","category-movie-clapperboard-v3","2026-09-19"
"Durga Rangila","durga-rangila","singer","no_verified_free_portrait","","","","","","","","","No exact freely reusable portrait located.","No exact freely reusable portrait located.","Exact-name Commons bitmap search and English Wikipedia/Wikidata image check on 2026-09-19 found no acceptable file.","category-music-microphone-v3","2026-09-19"
"Eddie Murphy","eddie-murphy","actor","approved","https://commons.wikimedia.org/wiki/File:Eddie_Murphy_2010.jpg","https://upload.wikimedia.org/wikipedia/commons/e/e3/Eddie_Murphy_2010.jpg","David Shankbone","2010-04-30","1157","1422","CC-BY-2.0","https://creativecommons.org/licenses/by/2.0/","Exact subject at the 2010 Tribeca Film Festival; strong vertical portrait. Map the provider typo EDDY MURPHY only as an explicit alias.","Exact subject at the 2010 Tribeca Film Festival; strong vertical portrait. Map the provider typo EDDY MURPHY only as an explicit alias.","Reviewed provider spelling or alias: ""EDDY MURPHY"" maps exactly to ""Eddie Murphy"". Attribution, license link, and modification notice required. Do not enable general fuzzy name matching. Source license statement: CC BY 2.0.","category-movie-clapperboard-v3","2026-09-19"
"Emraan Hashmi","emraan-hashmi","actor","approved","https://commons.wikimedia.org/wiki/File:Emraan_Hashmi_spotted_in_Bandra.jpg","https://upload.wikimedia.org/wikipedia/commons/d/da/Emraan_Hashmi_spotted_in_Bandra.jpg","Bollywood Hungama","2019-02-07","585","878","CC-BY-3.0","https://creativecommons.org/licenses/by/3.0/","File title and description explicitly identify Emraan Hashmi.","Solo vertical photo with good subject separation; strong icon crop.","Bollywood Hungama VRT-licensed event/street-appearance photograph. Source license statement: CC BY 3.0.","category-movie-clapperboard-v3","2026-09-19"
"Faakhir Mehmood","faakhir-mehmood","singer","no_verified_free_portrait","","","","","","","","","confirmed spelling variant Commons and web/image searches found only CC0 autograph/signature files such as File:Faakhir 35.jpg and File:Faakhir Mehmood signature.png, not a real portrait","No usable real-person portrait located","Reviewed provider spelling or alias: ""FAKHIR MEHMOOD"" maps exactly to ""Faakhir Mehmood"". NO ASSET Do not treat an autograph, logo, album cover, or unlicensed publicity image as a portrait","category-music-microphone-v3","2026-09-19"
"Falak Shabir","falak-shabir","singer","no_verified_free_portrait","","","","","","","","","confirmed Exact Commons, Wikidata, Wikipedia-page-image, Flickr, and web/image searches found no verified free portrait","No usable portrait located","NO ASSET Search results were publicity, social-media, or press imagery without a qualifying reuse license","category-music-microphone-v3","2026-09-19"
"Farhan Akhtar","farhan-akhtar","actor","approved","https://commons.wikimedia.org/wiki/File:Farhan_Akhtar_-_Times_Litfest_2016,_New_Delhi.jpg","https://upload.wikimedia.org/wikipedia/commons/8/89/Farhan_Akhtar_-_Times_Litfest_2016%2C_New_Delhi.jpg","Satdeep Gill","2016-11-27","5456","3632","CC-BY-SA-4.0","https://creativecommons.org/licenses/by-sa/4.0/","Description explicitly identifies Farhan Akhtar at Times Litfest; corrected spelling is verified.","Very high-resolution event photograph; ample latitude for an exact head-and-shoulders crop.","Reviewed provider spelling or alias: ""FARHAN AKTHAR"" maps exactly to ""Farhan Akhtar"". ShareAlike applies; record that the transparent icon is a crop/background-removal adaptation. Source license statement: CC BY-SA 4.0.","category-movie-clapperboard-v3","2026-09-19"
"Farhan Saeed","farhan-saeed","singer","conditional","https://commons.wikimedia.org/wiki/File:Farhan_Saeed_Jal_Photoshoot.jpg","https://commons.wikimedia.org/wiki/Special:Redirect/file/Farhan_Saeed_Jal_Photoshoot.jpg","Zest geo","","3504","2336","CC0-1.0","https://creativecommons.org/publicdomain/zero/1.0/","confirmed The only Commons-category portrait; its source statement says the uploader created the work 'not entirely' by themself and supplies no third-party permission or VRT record","High-resolution photoshoot image with ample crop latitude","HOLD - DO NOT USE YET The uploader's own statement leaves copyright ownership incomplete; require photographer/rightsholder confirmation before use Source license statement: CC0 claimed.","category-music-microphone-v3","2026-09-19"
"Feroz Khan","feroz-khan","actor","approved","https://commons.wikimedia.org/wiki/File:Feroz_Khan.jpg","https://upload.wikimedia.org/wikipedia/commons/f/f6/Feroz_Khan.jpg","Bollywood Hungama","2005-11-18","585","439","CC-BY-3.0","https://creativecommons.org/licenses/by/3.0/","Description identifies actor Feroz Khan at the Ek Khiladi Ek Haseena premiere; this distinguishes him from politician Feroz Khan search results.","Landscape event portrait; adequate resolution for a close upper-body crop.","Research identity label normalized from ""Feroz Khan (Indian actor, 1939-2009)"" to ""Feroz Khan""; keep the identity evidence when reviewing namesakes. Do not use similarly named File:Feroz_Khan_.jpg, which depicts a Hyderabad politician. Source license statement: CC BY 3.0.","category-movie-clapperboard-v3","2026-09-19"
"Ghulam Abbas","ghulam-abbas","singer","conditional","https://en.wikipedia.org/wiki/File:Ghulamabas.jpg","https://en.wikipedia.org/wiki/Special:Redirect/file/Ghulamabas.jpg","Nooruddin2020 uploader; photographer/author not stated","","989","1033","CC0-1.0","https://creativecommons.org/publicdomain/zero/1.0/","exact singer disambiguated from writers, politicians, and other namesakes English-Wikipedia local file is tagged CC0 and bot-suggested for Commons transfer, but the page has no source and no machine-readable author; no human Commons review was found","Clear square-ish portrait at useful resolution","Research identity label normalized from ""Ghulam Abbas - Pakistani playback and classical singer, born 1955"" to ""Ghulam Abbas""; keep the identity evidence when reviewing namesakes. HOLD - DO NOT USE YET Identity matches the 1955 singer and his article, not another Ghulam Abbas; require author/source evidence or a human-validated Commons transfer before use Source license statement: CC0 claimed.","category-music-microphone-v3","2026-09-19"
"Goher Mumtaz","goher-mumtaz","singer","approved","https://commons.wikimedia.org/wiki/File:Goher_Mumtaz_Lead_Vocalist_and_Founder_of_Jal_The_Band_.jpg","https://commons.wikimedia.org/wiki/Special:Redirect/file/Goher_Mumtaz_Lead_Vocalist_and_Founder_of_Jal_The_Band_.jpg","Sanwalzia","","800","547","CC-BY-SA-4.0","https://creativecommons.org/licenses/by-sa/4.0/","confirmed spelling/transliteration variant for the Jal founder and singer Commons self-published own-work declaration; exact Jal-band identity is stated and the file is used by the Goher Mumtaz article/Wikidata item","Landscape image with adequate pixels; a tight face crop will discard much of the frame","Reviewed provider spelling or alias: ""GOHAR MUMTAZ"" maps exactly to ""Goher Mumtaz"". APPROVED FOR PORTRAIT DESIGN Use canonical spelling Goher Mumtaz in metadata; keep author credit, license link, modification notice, and compatible share-alike terms Source license statement: CC BY-SA 4.0.","category-music-microphone-v3","2026-09-19"
"Gul Panra","gul-panra","singer","conditional","https://commons.wikimedia.org/wiki/File:Ali_Zafar_and_Gul_Panra_2022.png","https://commons.wikimedia.org/wiki/Special:Redirect/file/Ali_Zafar_and_Gul_Panra_2022.png","Mishoo Travel Vlogs","","1280","720","CC-BY-3.0","https://creativecommons.org/licenses/by/3.0/","resolved from the repository fallback person-fallback-gul-panra; subject text is a typo Commons page explicitly carries an unresolved LicenseReview request","Two-person stage frame; Gul Panra must be isolated and will occupy substantially fewer than 1280 pixels","Reviewed provider spelling or alias: ""GUL PANVA"" maps exactly to ""Gul Panra"". HOLD - DO NOT USE YET Require completed source-license review; use canonical artist name Gul Panra and verify which person is being cropped Upstream source: https://youtube.com/watch?v=VyP5GhLo_Ds&t=8725s. Source license statement: CC BY 3.0 claimed from YouTube.","category-music-microphone-v3","2026-09-19"
"Gulshan Grover","gulshan-grover","actor","approved","https://commons.wikimedia.org/wiki/File:Gulshan_Grover_(IIFA-2014-GreenCarpet2).jpg","https://upload.wikimedia.org/wikipedia/commons/3/3a/Gulshan_Grover_%28IIFA-2014-GreenCarpet2%29.jpg","Laura Lee Dooley (description credits James C. Dooley as photographer)","2014-04-25","5184","3456","CC-BY-2.0","https://creativecommons.org/licenses/by/2.0/","File title and description explicitly identify Gulshan Grover at IIFA 2014.","Very high-resolution red-carpet photograph; excellent source for a tight portrait crop.","Preserve the Commons author wording and description credit in attribution records. Source license statement: CC BY 2.0.","category-movie-clapperboard-v3","2026-09-19"
"Guri","guri","singer","conditional","https://commons.wikimedia.org/wiki/File:Guri_on_set_of_Lover_Movie.jpg","https://upload.wikimedia.org/wikipedia/commons/2/24/Guri_on_set_of_Lover_Movie.jpg","Gursewaksinghh","2021-09-21","3809","5714","CC0-1.0","https://creativecommons.org/publicdomain/zero/1.0/","High-resolution image used for the exact Punjabi singer/actor article; the description ties him to the film Lover, resolving the otherwise ambiguous single name.","High-resolution image used for the exact Punjabi singer/actor article; the description ties him to the film Lover, resolving the otherwise ambiguous single name.","Uploader claims own work and dedicates it CC0. Kept conditional because 'Guri' is highly ambiguous and the ownership/identity claim is not independently reviewed on the file page. Source license statement: CC0 1.0.","category-music-microphone-v3","2026-09-19"
"Gurnam Bhullar","gurnam-bhullar","singer","approved","https://commons.wikimedia.org/wiki/File:Gurnam_Bhullar.jpg","https://upload.wikimedia.org/wikipedia/commons/c/c1/Gurnam_Bhullar.jpg","ABP Sanjha","2019-10-26","1114","810","CC-BY-3.0","https://creativecommons.org/licenses/by/3.0/","Clear, close interview still with exact identity and useful resolution.","Clear, close interview still with exact identity and useful resolution.","YouTube-origin still; Commons records a completed license review. Source license statement: CC BY 3.0.","category-music-microphone-v3","2026-09-19"
"Gurshabad","gurshabad","singer","approved","https://commons.wikimedia.org/wiki/File:Savi_B-115.jpg","https://upload.wikimedia.org/wikipedia/commons/b/b1/Savi_B-115.jpg","H2426","2024-10-19T20:56:13","4000","6000","CC0-1.0","https://creativecommons.org/publicdomain/zero/1.0/","High-resolution concert portrait explicitly identifying Gurshabad Kular.","High-resolution concert portrait explicitly identifying Gurshabad Kular.","Uploader dedicates the file CC0. Page description says 'during 2025 Toronto concert' while EXIF/source date is 2024-10-19; this date-label inconsistency does not change identity or license but should remain documented. Source license statement: CC0 1.0.","category-music-microphone-v3","2026-09-19"
"Guru Randhawa","guru-randhawa","singer","conditional","https://commons.wikimedia.org/wiki/File:Guru_Randhawa_at_the_launch_of_MTV_Unplugged_Season_8.jpg","https://upload.wikimedia.org/wikipedia/commons/f/fe/Guru_Randhawa_at_the_launch_of_MTV_Unplugged_Season_8.jpg","Bollywood Hungama","","585","878","CC-BY-3.0","https://creativecommons.org/licenses/by/3.0","Guru Randhawa at the launch of MTV Unplugged Season 8","Solo full-body launch photograph, but the face occupies a small part of the 585px-wide original.","Reviewed provider spelling or alias: ""GURUR RANDHAWA"" maps exactly to ""Guru Randhawa"". Match only as reviewed alias: GURUR RANDHAWA → Guru Randhawa Conditional on a 48px recognizability test because the source is a full-body 585x878 image. Attribute author/source, retain license link, and identify background removal/cropping as modifications. Copyright license does not waive personality/publicity rights; use as factual EPG identification, not endorsement, and review local requirements before commercial release. neutral microphone icon Source license statement: CC BY 3.0.","category-music-microphone-v3","2026-09-19"
"H Dhami","h-dhami","singer","approved","https://commons.wikimedia.org/wiki/File:H-Dhami.JPG","https://upload.wikimedia.org/wikipedia/commons/5/51/H-Dhami.JPG","Advice.TV","2013-12-26T23:46:20","5687","4493","CC-BY-SA-3.0","https://creativecommons.org/licenses/by-sa/3.0/","High-resolution exact performance photograph suitable for a subject cutout.","High-resolution exact performance photograph suitable for a subject cutout.","Commons file page identifies H-Dhami and licenses the photograph CC BY-SA 3.0; retain share-alike and change disclosure. Source license statement: CC BY-SA 3.0.","category-music-microphone-v3","2026-09-19"
"Hadiqa Kiani","hadiqa-kiani","singer","approved","https://commons.wikimedia.org/wiki/File:Hadiqa_Kiani_Pakistani_Singer.jpg","https://commons.wikimedia.org/wiki/Special:Redirect/file/Hadiqa_Kiani_Pakistani_Singer.jpg","Noah I Aslam","","3744","4995","CC-BY-SA-4.0","https://creativecommons.org/licenses/by-sa/4.0/","confirmed Commons records permission ticket 2016080810001421 for the named photographer/source","High-resolution vertical portrait with excellent crop latitude","APPROVED FOR PORTRAIT DESIGN Keep author credit, source, license link, modification notice, and compatible share-alike terms Source license statement: CC BY-SA 4.0.","category-music-microphone-v3","2026-09-19"
"Happy Raikoti","happy-raikoti","singer","conditional","https://commons.wikimedia.org/wiki/File:Happy_Raikoti.jpg","https://upload.wikimedia.org/wikipedia/commons/9/9c/Happy_Raikoti.jpg","Bollywood Hungama","2020-10-01","169","253","CC-BY-3.0","https://creativecommons.org/licenses/by/3.0/","Exact portrait but only 169 x 253, below a dependable production threshold.","Exact portrait but only 169 x 253, below a dependable production threshold.","Bollywood Hungama VRT permission is confirmed on Commons. Keep only as a last-resort small icon; do not upscale as if it were high resolution. Source license statement: CC BY 3.0.","category-music-microphone-v3","2026-09-19"
"Harjit Harman","harjit-harman","singer","no_verified_free_portrait","","","","","","","","","No exact freely reusable portrait located.","No exact freely reusable portrait located.","Exact-name Commons bitmap search and English Wikipedia/Wikidata image check on 2026-09-19 found no acceptable file.","category-music-microphone-v3","2026-09-19"
"Himesh Reshammiya","himesh-reshammiya","singer","approved","https://commons.wikimedia.org/wiki/File:Himesh.jpg","https://upload.wikimedia.org/wikipedia/commons/4/41/Himesh.jpg","Kaladurga","","800","600","PD","https://commons.wikimedia.org/wiki/File:Himesh.jpg#Licensing","Himesh Reshammiya is Bollywood music director, singer and actor.","Clear, recognizable solo snapshot; sufficient 800px-wide source despite casual pose.","No correction needed Exact subject is identified by the Commons file title/description and visually matches the named singer. No copyright attribution required by the license, but preserve source and author provenance in the project catalog. Copyright license does not waive personality/publicity rights; use as factual EPG identification, not endorsement, and review local requirements before commercial release. not required; neutral microphone remains safe fallback Source license statement: Public domain.","category-music-microphone-v3","2026-09-19"
"Hrithik Roshan","hrithik-roshan","actor","approved","https://commons.wikimedia.org/wiki/File:Hrithik_at_Rado_launch.jpg","https://upload.wikimedia.org/wikipedia/commons/9/9c/Hrithik_at_Rado_launch.jpg","Bollywood Hungama","2016","388","545","CC-BY-3.0","https://creativecommons.org/licenses/by/3.0/","Description explicitly identifies Indian actor Hrithik Roshan at a Rado launch; corrected spelling is verified.","Vertical solo event portrait; enough face detail for guide use, with moderate upscaling only.","Reviewed provider spelling or alias: ""HRTHIK ROSHAN"" maps exactly to ""Hrithik Roshan"". Bollywood Hungama VRT-licensed event photo. Source license statement: CC BY 3.0.","category-movie-clapperboard-v3","2026-09-19"
"Humera Channa","humera-channa","singer","conditional","https://commons.wikimedia.org/wiki/File:Humera_Channa_2019.png","https://commons.wikimedia.org/wiki/Special:Redirect/file/Humera_Channa_2019.png","Electronic Diary","","960","1080","CC-BY-3.0","https://creativecommons.org/licenses/by/3.0/","confirmed spelling/transliteration variant Commons page explicitly carries an unresolved LicenseReview request","Near-square video still with enough resolution for an icon; likely compressed","Reviewed provider spelling or alias: ""HUMAIRA CHANNA"" maps exactly to ""Humera Channa"". HOLD - DO NOT USE YET Require a completed YouTube license review or archived proof of the cited video's compatible license Upstream source: https://youtube.com/watch?v=aeLF1EhCov4&t=28s. Source license statement: CC BY 3.0 claimed from YouTube.","category-music-microphone-v3","2026-09-19"
"Imran Khan","imran-khan","singer","conditional","https://commons.wikimedia.org/wiki/File:Imran_Khan_Singer.jpg","https://commons.wikimedia.org/wiki/Special:Redirect/file/Imran_Khan_Singer.jpg","Bhangrology","","1058","1206","CC-BY-3.0","https://creativecommons.org/licenses/by/3.0/","probable category intent but ambiguous with the former Pakistani prime minister; manual identity confirmation required Commons page cites YouTube but contains no completed license-review result","Portrait-oriented concert frame with useful dimensions","Research identity label normalized from ""Imran Khan - Dutch-Pakistani singer and rapper"" to ""Imran Khan""; keep the identity evidence when reviewing namesakes. HOLD - DO NOT USE YET Confirm the channel means the singer/rapper, not the politician, and obtain completed source-license verification before use Upstream source: https://m.youtube.com/watch?v=4qnPkSnpicI. Source license statement: CC BY 3.0 claimed from YouTube.","category-music-microphone-v3","2026-09-19"
